year,species,abundance
1996,216,0.025
1997,2,28.625
1997,3,34.125
1997,4,1.35
1997,5,0.3
1997,6,0.125
1997,11,0.025
1997,12,3.45
1997,14,1.5
1997,15,3.025
1997,17,0.025
1997,18,14.925
1997,21,0.5
1997,23,0.525
1997,31,0.1
1997,32,0.05
1997,34,0.425
1997,36,0.05
1997,40,7
1997,41,1.55
1997,42,0.025
1997,46,2.2
1997,49,0.025
1997,52,0.1
1997,54,0.1
1997,55,0.1
1997,56,0.35
1997,58,1.625
1997,59,0.65
1997,60,0.125
1997,66,0.725
1997,69,0.025
1997,70,0.25
1997,77,0.125
1997,78,0.025
1997,86,0.475
1997,90,0.325
1997,92,0.025
1997,102,0.025
1997,106,0.075
1997,109,0.25
1997,111,0.425
1997,112,0.025
1997,116,0.075
1997,118,0.05
1997,120,1.275
1997,121,4.15
1997,122,0.3
1997,123,0.025
1997,125,0.175
1997,128,0.1
1997,134,0.025
1997,140,1.05
1997,152,0.1
1997,210,1.5
1997,216,0.025
1997,253,0.025
1998,2,28.625
1998,3,34.125
1998,4,3.075
1998,5,0.65
1998,6,0.175
1998,11,0.5
1998,12,1.975
1998,14,0.425
1998,15,3.025
1998,18,13.8
1998,21,0.5
1998,23,0.525
1998,31,0.05
1998,32,0.025
1998,33,1.625
1998,34,0.075
1998,40,3.15
1998,41,1.525
1998,42,0.025
1998,44,0.025
1998,46,2.675
1998,52,0.05
1998,54,0.075
1998,55,0.05
1998,56,0.2
1998,58,0.625
1998,59,0.275
1998,60,0.1
1998,66,0.575
1998,69,0.025
1998,70,0.25
1998,77,0.15
1998,86,0.425
1998,90,0.125
1998,106,0.15
1998,109,0.175
1998,111,0.325
1998,116,0.075
1998,118,0.05
1998,120,0.9
1998,121,2.3
1998,122,0.325
1998,123,0.025
1998,125,0.05
1998,128,0.125
1998,134,0.025
1998,140,0.7
1998,152,0.05
1998,216,0.025
1998,253,0.025
1999,2,32.125
1999,3,34.125
1999,4,2.975
1999,5,0.65
1999,6,0.175
1999,11,0.175
1999,12,0.875
1999,14,0.475
1999,15,3.025
1999,17,0.025
1999,18,13.2
1999,21,0.375
1999,23,0.55
1999,31,0.1
1999,33,1.75
1999,34,0.125
1999,36,0.175
1999,40,5.2
1999,41,0.925
1999,42,0.025
1999,44,0.025
1999,46,3.425
1999,52,0.075
1999,54,0.1
1999,55,0.1
1999,56,0.325
1999,58,0.85
1999,59,0.25
1999,60,0.075
1999,66,0.45
1999,69,0.025
1999,70,0.125
1999,77,0.25
1999,78,0.025
1999,86,0.45
1999,90,0.1
1999,106,0.1
1999,109,0.25
1999,111,0.175
1999,116,0.05
1999,118,0.05
1999,120,0.9
1999,121,3.55
1999,122,0.325
1999,123,0.025
1999,140,0.95
1999,152,0.1
1999,228,0.025
1999,300,0.025
2000,2,39.25
2000,3,34.125
2000,4,1.625
2000,5,0.65
2000,6,0.125
2000,11,0.2
2000,12,0.425
2000,14,0.475
2000,15,3.475
2000,18,13.8
2000,21,0.4
2000,23,0.65
2000,30,0.025
2000,31,0.225
2000,33,0.875
2000,34,0.2
2000,40,7.125
2000,41,1.675
2000,42,0.15
2000,44,0.025
2000,46,1.875
2000,52,0.1
2000,54,0.05
2000,55,0.1
2000,56,0.3
2000,58,1.875
2000,59,0.5
2000,60,0.05
2000,66,0.35
2000,69,0.025
2000,70,0.275
2000,77,0.4
2000,80,0.025
2000,86,1.325
2000,90,0.175
2000,106,0.175
2000,109,0.175
2000,111,0.225
2000,116,0.05
2000,118,0.075
2000,120,0.775
2000,121,3.6
2000,122,0.925
2000,123,0.025
2000,126,0.025
2000,127,0.025
2000,128,0.05
2000,140,1.825
2000,152,0.075
2000,228,0.025
2001,2,44
2001,3,36.625
2001,4,1.875
2001,5,0.5
2001,6,0.05
2001,12,1.25
2001,14,0.725
2001,15,4.1
2001,18,14.925
2001,21,0.4
2001,23,0.525
2001,31,0.375
2001,33,1.25
2001,34,0.2
2001,36,0.2
2001,40,5.05
2001,41,1.675
2001,42,0.15
2001,44,0.025
2001,46,2.025
2001,52,0.25
2001,54,0.05
2001,55,0.125
2001,56,0.575
2001,58,2.25
2001,59,0.5
2001,60,0.15
2001,66,0.975
2001,69,0.025
2001,70,0.425
2001,77,0.2
2001,85,0.025
2001,86,0.575
2001,90,0.15
2001,106,0.2
2001,109,0.225
2001,111,0.175
2001,116,0.075
2001,118,0.05
2001,120,1.25
2001,121,3.6
2001,122,0.9
2001,125,0.15
2001,126,0.025
2001,128,0.075
2001,140,1.7
2001,143,0.05
2001,152,0.05
2001,228,0.025
